sr_no,state,mp_name,constituency,constituency_clean,allocated_amount_inr,is_reserved_sc,is_reserved_st,is_missing_amount,is_invalid_amount,is_duplicate_constituency,is_data_quality_issue
256,Rajasthan,KULDEEP INDORA,GANGANAGAR(SC),GANGANAGAR,147000000.0,True,False,False,False,False,False
257,Telangana,KUNDURU RAGHUVEER,NALGONDA,NALGONDA,162952022.0,False,False,False,False,False,False
258,Uttar Pradesh,LALJI VERMA,AMBEDKAR NAGAR,AMBEDKAR NAGAR,147000000.0,False,False,False,False,False,False
259,Andhra Pradesh,Lavu Sri Krishna Devarayalu,NARASARAOPET,NARASARAOPET,174009663.11,False,False,False,False,False,False
260,Uttar Pradesh,LAXMIKANT PAPPU NISHAD,SANT KABIR NAGAR,SANT KABIR NAGAR,147000000.0,False,False,False,False,False,False
261,Bihar,LOVELY ANAND,SHEOHAR,SHEOHAR,147000000.0,False,False,False,False,False,False
262,Rajasthan,LUMBARAM,JALORE,JALORE,147000000.0,False,False,False,False,False,False
263,Karnataka,M. MALLESH BABU,KOLAR(SC),KOLAR,147065957.11,True,False,False,False,False,False
264,Tamil Nadu,M.K. VISHNUPRASAD,CUDDALORE,CUDDALORE,147000000.0,False,False,False,False,False,False
265,Andhra Pradesh,Maddila Gurumoorthy,TIRUPATI(SC),TIRUPATI,180399007.0,True,False,False,False,False,False
266,Telangana,MADHAVANENI RAGHUNANDAN RAO,MEDAK,MEDAK,147000000.0,False,False,False,False,False,False
267,Andhra Pradesh,Magunta Sreenivasulu Reddy,ONGOLE,ONGOLE,147000000.0,False,False,False,False,False,False
268,Madhya Pradesh,Mahendra Singh Solanky,DEWAS(SC),DEWAS,147000000.0,True,False,False,False,False,False
269,Chhattisgarh,MAHESH KASHYAP,BASTAR(ST),BASTAR,147000000.0,False,True,False,False,False,False
270,Uttar Pradesh,Mahesh Sharma,GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,148816284.11,False,False,False,False,False,False
271,Rajasthan,MAHIMA KUMARI MEWAR,RAJSAMAND,RAJSAMAND,183892143.0,False,False,False,False,False,False
272,Uttarakhand,Mala Rajya Laxmi Shah,TEHRI GARHWAL,TEHRI GARHWAL,147000000.0,False,False,False,False,False,False
273,West Bengal,Mala Roy,KOLKATA DAKSHIN,KOLKATA DAKSHIN,147000000.0,False,False,False,False,False,False
274,Tamil Nadu,MALAIYARASAN D,KALLAKURICHI,KALLAKURICHI,201599593.0,False,False,False,False,False,False
275,Odisha,MALVIKA DEVI,KALAHANDI,KALAHANDI,147000000.0,False,False,False,False,False,False
276,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,ANANDPUR SAHIB,147000000.0,False,False,False,False,False,False
277,Tamil Nadu,MANI. A.,DHARAMAPURI,DHARAMAPURI,164515071.11,False,False,False,False,False,False
278,Tamil Nadu,Manickam Tagore B,VIRUDHUNAGAR,VIRUDHUNAGAR,147000000.0,False,False,False,False,False,False
279,Jharkhand,MANISH JAISWAL,HAZARIBAGH,HAZARIBAGH,147000000.0,False,False,False,False,False,False
280,Chandigarh,MANISH TEWARI,CHANDIGARH,CHANDIGARH,178351443.75,False,False,False,False,False,False
281,Rajasthan,MANJU SHARMA,JAIPUR,JAIPUR,167082901.11,False,False,False,False,False,False
282,Rajasthan,MANNA LAL RAWAT,UDAIPUR(ST),UDAIPUR,147000000.0,False,True,False,False,False,False
283,Haryana,MANOHAR LAL,KARNAL,KARNAL,147000000.0,False,False,False,False,False,False
284,Bihar,MANOJ KUMAR,SASARAM(SC),SASARAM,147000000.0,True,False,False,False,False,False
285,West Bengal,MANOJ TIGGA,ALIPURDUARS(ST),ALIPURDUARS,147000000.0,False,True,False,False,False,False
286,Delhi,Manoj Tiwari,NORTH EAST DELHI,NORTH EAST DELHI,225843858.0,False,False,False,False,False,False
287,Gujarat,Mansukhbhai Dhanjibhai Vasava,BHARUCH,BHARUCH,147000000.0,False,False,False,False,False,False
288,Jammu And Kashmir,MIAN ALTAF AHMAD,ANANTNAG,ANANTNAG,147000000.0,False,False,False,False,False,False
289,Andhra Pradesh,Midhun Reddy,RAJAMPET,RAJAMPET,178951477.11,False,False,False,False,False,False
290,Bihar,MISHA BHARTI,PATALIPUTRA,PATALIPUTRA,147000000.0,False,False,False,False,False,False
291,Gujarat,Mitesh Rameshbhai Bakabhai Patel,ANAND,ANAND,147000000.0,False,False,False,False,False,False
292,Ladakh,Mohamed Haneefa,LADAKH,LADAKH,161114542.0,False,False,False,False,False,False
293,Uttar Pradesh,MOHIBBULLAH,RAMPUR,RAMPUR,147000000.0,False,False,False,False,False,False
294,Maharashtra,MOHITE PATIL DHAIRYASHEEL RAJSINH,MADHA,MADHA,195613601.7,False,False,False,False,False,False
295,Bihar,Mr Gopal Jee Thakur,DARBHANGA,DARBHANGA,147000000.0,False,False,False,False,False,False
